Attrition Date,Age,Attrition,BusinessTravel,Department,Education,EmployeeCount,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PerformanceRating
4/30/2022 12:00:00 AM,41,Yes,Travel_Rarely,Sales,Associates Degree,1,1,Female,Sales Executive,4,Single,5993,19479,8,Yes,3
,49,No,Travel_Frequently,Research & Development,High School,1,2,Male,Research Scientist,2,Married,5130,24907,1,No,4
05-03-2022 00:00,37,Yes,Travel_Rarely,Research & Development,Associates Degree,1,4,Male,Laboratory Technician,3,Single,2090,2396,6,Yes,3
,33,No,Travel_Frequently,Research & Development,Master's Degree,1,5,Female,Research Scientist,3,Married,2909,23159,1,Yes,3
,27,No,Travel_Rarely,Research & Development,High School,1,7,Male,Laboratory Technician,2,Married,3468,16632,9,No,3
,32,No,Travel_Frequently,Research & Development,Associates Degree,1,8,Male,Laboratory Technician,4,Single,3068,11864,0,No,3
,59,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,10,Female,Laboratory Technician,1,Married,2670,9964,4,Yes,4
,30,No,Travel_Rarely,Research & Development,High School,1,11,Male,Laboratory Technician,3,Divorced,2693,13335,1,No,4
,38,No,Travel_Frequently,Research & Development,Bachelor's Degree,1,12,Male,Manufacturing Director,3,Single,9526,8787,0,No,4
,36,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,13,Male,Healthcare Representative,3,Married,5237,16577,6,No,3
,35,No,Travel_Rarely,Research & Development,Bachelor's Degree,1,14,Male,Laboratory Technician,2,Married,2426,16479,0,No,3
,29,No,Travel_Rarely,Research & Development,Associates Degree,1,15,Female,Laboratory Technician,3,Single,4193,12682,0,Yes,3
,31,No,Travel_Rarely,Research & Development,High School,1,16,Male,Research Scientist,3,Divorced,2911,15170,1,No,3
,34,No,Travel_Rarely,Research & Development,Associates Degree,1,18,Male,Laboratory Technician,4,Divorced,2661,8758,0,No,3
07-05-2021 00:00,28,Yes,Travel_Rarely,Research & Development,Bachelor's Degree,1,19,Male,Laboratory Technician,3,Single,2028,12947,5,Yes,3
